"Source:","/Users/yaoyitong/Documents/Polly_514_lab/lab3/PCB Design Lab/PCB Design Lab.kicad_sch"
"Date:","2026-01-29T03:37:27-0800"
"Tool:","Eeschema 9.0.5"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","15"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","15pF","C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor","",""
"C2","1","2.2uF","C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor","",""
"C3","1","1uF","C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor","",""
"C4","1","0.01uF","C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor","",""
"C5, C6","2","100nF","C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor","",""
"D1","1","LED","LED","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","Light emitting diode","",""
"J1","1","Conn_01x04_Pin","Conn_01x04_Pin","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated","",""
"R1","1","51k","R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor","",""
"R2","1","30.1k","R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor","",""
"R3, R4","2","10k","R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor","",""
"R5","1","1k","R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor","",""
"U1","1","TPS79301DBVR","TPS79301DBVR","TPS79301:SOT95P280X145-6N","","",""
"U2","1","LSM6DSOXTR","LSM6DSOXTR","LSM6DSOX:PQFN50P250X300X86-14N","","",""
